AL_DE	Dothan Eagle	Dothan, Ala. USA
PA_CV	The Citizens' Voice	Wilkes-Barre, Pa. USA
PA_YDR	York Daily Record	York, Pa. USA
RI_PJ	The Providence Journal	Providence, R.I. USA
RI_WS	The Westerly Sun	Westerly, R.I. USA
SC_IP	The Island Packet	Bluffton, S.C. USA
SC_MN	The Morning News	Florence, S.C. USA
SC_GN	The Greenville News	Greenville, S.C. USA
SD_RCJ	Rapid City Journal	Rapid City, S.D. USA
SD_SFAL	Argus Leader	Sioux Falls, S.D. USA
TN_CTFP	Chattanooga Times Free Press	Chattanooga, Tenn. USA
TN_KNS	News Sentinel	Knoxville, Tenn. USA
TN_CA	The Commercial Appeal	Memphis, Tenn. USA
TN_TT	The Tennessean	Nashville, Tenn. USA
TX_AAS	Austin American-Statesman	Austin, Texas USA
TX_BE	The Beaumont Enterprise	Beaumont, Texas USA
TX_PW	The Panola Watchman	Carthage, Texas USA
TX_DMN	The Dallas Morning News	Dallas, Texas USA
TX_DRC	Denton Record-Chronicle	Denton, Texas USA
TX_FWST	Fort Worth Star-Telegram	Fort Worth, Texas USA
TX_GCDN	Galveston County Daily News	Galveston, Texas USA
TX_THN	The Henderson News	Henderson, Texas USA
TX_HC	Houston Chronicle	Houston, Texas USA
TX_KNH	Kilgore News Herald	Kilgore, Texas USA
TX_LMT	Laredo Morning Times	Laredo, Texas USA
TX_LNJ	Longview News-Journal	Longview, Texas USA
TX_MNM	The Marshall News Messenger	Marshall, Texas USA
TX_ST	Standard-Times	San Angelo, Texas USA
TX_SAEN	San Antonio Express-News	San Antonio, Texas USA
TX_TDT	Temple Daily Telegram	Temple, Texas USA
TX_TG	Texarkana Gazette	Texarkana, Texas USA
TX_TMT	Tyler Morning Telegraph	Tyler, Texas USA
TX_VA	Victoria Advocate	Victoria, Texas USA
TX_WTH	Waco Tribune-Herald	Waco, Texas USA
TX_TRN	Times Record News	Wichita Falls, Texas USA
UT_TS	The Spectrum	St. George, Utah USA
VT_BFP	The Burlington Free Press	Burlington, Vt. USA
VA_DP	Daily Progress	Charlottesville, Va. USA
